A01,A02,2
C01,A02,2
A01,A03,4
C01,A03,4
A01,A04,6
C01,A04,6
A01,A05,9
C01,A05,9
A01,A06,11
C01,A06,11
A01,A07,13
C01,A07,13
A01,A08,15
C01,A08,15
A01,A09,18
C01,A09,18
A01,A10,20
C01,A10,20
A01,A11,23
C01,A11,23
A01,A12,26
C01,A12,26
A01,A13,29
C01,A13,29
A01,A14,32
C01,A14,32
A01,A15,36
C01,A15,36
A01,B01,2
C01,B01,2
A01,F01,2
C01,F01,2
A01,B02,4
C01,B02,4
A01,B03,6
C01,B03,6
A01,B04,10
C01,B04,10
A01,B05,12
C01,B05,12
A01,B06,15
C01,B06,15
A01,E06,15
C01,E06,15
A01,B07,18
C01,B07,18
A01,B08,21
C01,B08,21
A01,B09,24
C01,B09,24
A01,B10,27
C01,B10,27
A01,B11,31
C01,B11,31
A01,C02,1
C01,C02,1
A01,C03,2
C01,C03,2
A01,C04,4
C01,C04,4
A01,C05,7
C01,C05,7
A01,C06,9
C01,C06,9
A01,C07,12
C01,C07,12
A01,C08,13
C01,C08,13
A01,C09,15
C01,C09,15
A01,C12,22
C01,C12,22
A01,C13,24
C01,C13,24
A01,C14,29
C01,C14,29
A01,C15,30
C01,C15,30
A01,D01,1
C01,D01,1
A01,D02,3
C01,D02,3
A01,D04,7
C01,D04,7
A01,D05,9
C01,D05,9
A01,D06,11
C01,D06,11
A01,D07,13
C01,D07,13
A01,D08,14
C01,D08,14
A01,D09,18
C01,D09,18
A01,D10,20
C01,D10,20
A01,D11,22
C01,D11,22
A01,D12,25
C01,D12,25
A01,D13,28
C01,D13,28
A01,E01,9
C01,E01,9
A01,E02,10
C01,E02,10
A01,E03,12
C01,E03,12
A01,E04,14
C01,E04,14
A01,E05,17
C01,E05,17
A01,E07,23
C01,E07,23
A01,E08,26
C01,E08,26
A01,E09,29
C01,E09,29
A01,E10,32
C01,E10,32
A01,F02,8
C01,F02,8
A01,D03,5
C01,D03,5
A01,F03,5
C01,F03,5
A01,F04,12
C01,F04,12
A01,F05,14
C01,F05,14
A01,F06,16
C01,F06,16
A01,F07,19
C01,F07,19
A01,F09,24
C01,F09,24
A01,F10,26
C01,F10,26
A01,F11,29
C01,F11,29
A01,G01,17
C01,G01,17
A01,G02,20
C01,G02,20
A01,G03,23
C01,G03,23
A01,C10,17
C01,C10,17
A01,J02,29
C01,J02,29
A01,J03,35
C01,J03,35
A01,K01,10
C01,K01,10
A01,K02,12
C01,K02,12
A01,K03,13
C01,K03,13
A01,K04,15
C01,K04,15
A01,K05,19
C01,K05,19
A01,K06,22
C01,K06,22
A01,K07,26
C01,K07,26
A01,K08,29
C01,K08,29
A01,F08,21
C01,F08,21
A01,B35,8
C01,B35,8
A01,G05,29
C01,G05,29
A01,G04,26
C01,G04,26
A01,N01,27
C01,N01,27
A01,N02,29
C01,N02,29
A01,N03,31
C01,N03,31
A01,N04,33
C01,N04,33
A01,N06,41
C01,N06,41
A02,A01,2
A02,C01,2
A02,A03,2
A02,A04,4
A02,A05,7
A02,A06,9
A02,A07,11
A02,A08,13
A02,A09,16
A02,A10,18
A02,A11,21
A02,A12,24
A02,A13,27
A02,A14,30
A02,A15,34
A02,B01,4
A02,F01,4
A02,B02,6
A02,B03,8
A02,B04,12
A02,B05,14
A02,B06,17
A02,E06,17
A02,B07,20
A02,B08,23
A02,B09,26
A02,B10,29
A02,B11,33
A02,C02,8
A02,C03,9
A02,C04,11
A02,C05,14
A02,C06,16
A02,C07,17
A02,C08,18
A02,C09,20
A02,C12,27
A02,C13,29
A02,C14,31
A02,C15,32
A02,D01,8
A02,D02,10
A02,D04,14
A02,D05,16
A02,D06,18
A02,D07,20
A02,D08,21
A02,D09,25
A02,D10,27
A02,D11,29
A02,D12,32
A02,D13,35
A02,E01,11
A02,E02,12
A02,E03,14
A02,E04,16
A02,E05,19
A02,E07,25
A02,E08,28
A02,E09,31
A02,E10,34
A02,F02,10
A02,D03,12
A02,F03,12
A02,F04,14
A02,F05,16
A02,F06,18
A02,F07,21
A02,F09,26
A02,F10,28
A02,F11,31
A02,G01,24
A02,G02,27
A02,G03,30
A02,C10,22
A02,J02,36
A02,J03,42
A02,K01,17
A02,K02,19
A02,K03,20
A02,K04,22
A02,K05,26
A02,K06,29
A02,K07,33
A02,K08,36
A02,F08,23
A02,B35,10
A02,G05,36
A02,G04,33
A02,N01,34
A02,N02,36
A02,N03,38
A02,N04,40
A02,N06,48
A03,A01,4
A03,C01,4
A03,A02,2
A03,A04,2
A03,A05,5
A03,A06,7
A03,A07,9
A03,A08,11
A03,A09,14
A03,A10,16
A03,A11,19
A03,A12,22
A03,A13,25
A03,A14,28
A03,A15,32
A03,B01,6
A03,F01,6
A03,B02,8
A03,B03,10
A03,B04,14
A03,B05,16
A03,B06,19
A03,E06,19
A03,B07,22
A03,B08,25
A03,B09,28
A03,B10,31
A03,B11,35
A03,C02,10
A03,C03,11
A03,C04,13
A03,C05,16
A03,C06,18
A03,C07,19
A03,C08,20
A03,C09,22
A03,C12,29
A03,C13,31
A03,C14,33
A03,C15,34
A03,D01,10
A03,D02,12
A03,D04,16
A03,D05,18
A03,D06,20
A03,D07,22
A03,D08,23
A03,D09,27
A03,D10,29
A03,D11,31
A03,D12,34
A03,D13,37
A03,E01,13
A03,E02,14
A03,E03,16
A03,E04,18
A03,E05,21
A03,E07,27
A03,E08,30
A03,E09,33
A03,E10,36
A03,F02,12
A03,D03,14
A03,F03,14
A03,F04,16
A03,F05,18
A03,F06,20
A03,F07,23
A03,F09,28
A03,F10,30
A03,F11,33
A03,G01,26
A03,G02,29
A03,G03,32
A03,C10,24
A03,J02,38
A03,J03,44
A03,K01,19
A03,K02,21
A03,K03,22
A03,K04,24
A03,K05,28
A03,K06,31
A03,K07,35
A03,K08,38
A03,F08,25
A03,B35,12
A03,G05,38
A03,G04,35
A03,N01,36
A03,N02,38
A03,N03,40
A03,N04,42
A03,N06,50
A04,A01,6
A04,C01,6
A04,A02,4
A04,A03,2
A04,A05,3
A04,A06,5
A04,A07,7
A04,A08,9
A04,A09,12
A04,A10,14
A04,A11,17
A04,A12,20
A04,A13,23
A04,A14,26
A04,A15,30
A04,B01,8
A04,F01,8
A04,B02,10
A04,B03,12
A04,B04,16
A04,B05,18
A04,B06,21
A04,E06,21
A04,B07,24
A04,B08,27
A04,B09,30
A04,B10,33
A04,B11,37
A04,C02,12
A04,C03,13
A04,C04,15
A04,C05,18
A04,C06,20
A04,C07,21
A04,C08,22
A04,C09,24
A04,C12,31
A04,C13,33
A04,C14,35
A04,C15,36
A04,D01,12
A04,D02,14
A04,D04,18
A04,D05,20
A04,D06,22
A04,D07,24
A04,D08,25
A04,D09,29
A04,D10,31
A04,D11,33
A04,D12,36
A04,D13,39
A04,E01,15
A04,E02,16
A04,E03,18
A04,E04,20
A04,E05,23
A04,E07,29
A04,E08,32
A04,E09,35
A04,E10,38
A04,F02,14
A04,D03,16
A04,F03,16
A04,F04,18
A04,F05,20
A04,F06,22
A04,F07,25
A04,F09,30
A04,F10,32
A04,F11,35
A04,G01,28
A04,G02,31
A04,G03,34
A04,C10,26
A04,J02,40
A04,J03,46
A04,K01,21
A04,K02,23
A04,K03,24
A04,K04,26
A04,K05,30
A04,K06,33
A04,K07,37
A04,K08,40
A04,F08,27
A04,B35,14
A04,G05,40
A04,G04,37
A04,N01,38
A04,N02,40
A04,N03,42
A04,N04,44
A04,N06,52
A05,A01,9
A05,C01,9
A05,A02,7
A05,A03,5
