,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B35,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C12,C13,C14,C15,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,D13,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,G01,G02,G03,G04,G05,J02,J03,K01,K02,K03,K04,K05,K06,K07,K08,N01,N02,N03,N04,N06
B01,2,4,6,8,11,13,15,17,20,22,25,28,31,34,38,,2,4,8,10,13,16,19,22,25,29,6,2,8,9,11,14,16,8,9,11,13,18,20,22,23,8,10,3,10,12,14,16,17,21,23,25,28,31,2,3,5,7,10,13,16,19,22,25,,1,3,5,7,9,12,14,17,19,22,20,23,26,29,32,30,36,17,19,20,22,26,29,33,36,34,36,38,40,48
B02,4,6,8,10,13,15,17,19,22,24,27,30,33,36,40,2,,2,6,8,11,14,17,20,23,27,4,4,10,11,13,16,18,15,16,18,20,25,27,29,30,10,12,10,16,18,20,22,23,27,29,31,34,37,9,10,12,14,17,11,19,22,25,28,2,8,10,12,14,16,19,21,24,26,29,26,29,32,35,38,37,43,19,21,22,24,28,31,35,38,36,38,40,42,50
B03,6,8,10,12,15,17,19,21,24,26,29,32,35,38,42,4,2,,4,6,9,12,15,18,21,25,2,6,12,13,15,18,20,17,18,20,22,27,29,31,32,12,14,12,18,20,22,24,25,29,31,33,36,39,11,12,14,16,17,9,17,20,23,26,4,10,12,14,16,18,21,23,26,28,31,28,31,34,37,40,39,45,21,23,24,26,30,33,37,40,38,40,42,44,52
B04,10,12,14,16,19,21,23,25,28,30,33,36,39,42,46,8,6,4,,2,5,8,11,14,17,21,2,10,16,17,19,22,24,21,22,24,26,31,33,35,36,16,18,16,22,24,26,28,29,33,35,37,40,43,15,16,18,16,13,5,13,16,19,22,8,14,16,18,20,22,25,27,30,32,35,32,35,38,41,44,43,49,25,27,28,30,34,37,41,44,42,44,46,48,56
B05,12,14,16,18,21,23,25,27,30,32,35,38,41,44,48,10,8,6,2,,3,6,9,12,15,19,4,12,18,19,21,24,26,23,24,26,28,33,35,37,38,18,20,18,24,26,28,30,31,35,37,39,42,45,17,18,16,14,11,3,11,14,17,20,10,16,18,20,22,24,27,29,32,34,37,34,37,40,43,46,45,51,27,29,30,32,36,39,43,46,44,46,48,50,58
B06,15,17,19,21,24,26,28,30,33,35,38,41,44,47,51,13,11,9,5,3,,3,6,9,12,16,7,15,21,22,24,27,29,21,22,24,26,31,33,35,36,21,23,16,23,25,27,29,30,34,36,38,41,44,11,10,8,6,3,,3,6,9,12,13,14,16,18,20,22,25,27,30,32,35,33,36,39,42,45,43,49,30,32,33,35,39,42,46,49,47,49,51,53,61
B07,18,20,22,24,27,29,31,33,36,38,41,44,47,50,54,16,14,12,8,6,3,,3,6,9,13,10,18,24,25,27,30,32,29,30,32,34,39,41,43,44,24,26,24,30,32,34,36,37,41,43,45,48,51,19,18,16,14,11,3,11,14,17,20,16,22,24,26,28,30,33,35,38,40,43,40,43,46,49,52,51,57,33,35,36,38,42,45,49,52,50,52,54,56,64
B08,21,23,25,27,30,32,34,36,39,41,44,47,50,53,57,19,17,15,11,9,6,3,,3,6,10,13,21,27,28,30,33,35,32,33,35,37,42,44,46,47,27,29,27,33,35,37,39,40,44,46,48,51,54,22,21,19,17,14,6,14,17,20,23,19,25,27,29,31,33,36,38,41,43,46,43,46,49,52,55,54,60,36,38,39,41,45,48,52,55,53,55,57,59,67
B09,24,26,28,30,33,35,37,39,42,44,47,50,53,56,60,22,20,18,14,12,9,6,3,,3,7,16,24,30,31,33,36,38,35,36,38,40,45,47,49,50,30,32,30,36,38,40,42,43,47,49,51,54,57,25,24,22,20,17,9,17,20,23,26,22,28,30,32,34,36,39,41,44,46,49,46,49,52,55,58,57,63,39,41,42,44,48,51,55,58,56,58,60,62,70
B10,27,29,31,33,36,38,40,42,45,47,50,53,56,59,63,25,23,21,17,15,12,9,6,3,,4,19,27,33,34,36,39,41,38,39,41,43,48,50,52,53,33,35,33,39,41,43,45,46,50,52,54,57,60,28,27,25,23,20,12,20,23,26,29,25,31,33,35,37,39,42,44,47,49,52,49,52,55,58,61,60,66,42,44,45,47,51,54,58,61,59,61,63,65,73
